test data,Uncal.,ETS w/o DAC,ETS + DAC
natural_1,0.076588444,0.059029818,0.060801838
natural_2,0.076588444,0.059029818,0.060801838
natural_3,0.076588444,0.059029818,0.060801838
natural_4,0.076588444,0.059029818,0.060801838
natural_5,0.076588444,0.059029818,0.060801838
gaussian_noise_1,0.09428585,0.07436247,0.0755862
gaussian_noise_2,0.12532276,0.10128328,0.097420014
gaussian_noise_3,0.18199243,0.15274635,0.13900948
gaussian_noise_4,0.21534514,0.18350977,0.16266683
gaussian_noise_5,0.25553924,0.22092316,0.19261137
shot_noise_1,0.084847316,0.06626721,0.06879944
shot_noise_2,0.09914617,0.07816601,0.079033375
shot_noise_3,0.14767301,0.12156479,0.11191647
shot_noise_4,0.17245795,0.14364097,0.12838875
shot_noise_5,0.22845547,0.1952808,0.16808477
speckle_noise_1,0.0857304,0.066914394,0.06827463
speckle_noise_2,0.10887058,0.08636746,0.083545566
speckle_noise_3,0.12777811,0.103178084,0.09639062
speckle_noise_4,0.17419997,0.14440864,0.12485884
speckle_noise_5,0.24081266,0.20630082,0.17289636
impulse_noise_1,0.115724154,0.09260383,0.09067805
impulse_noise_2,0.17410083,0.1450035,0.13129817
impulse_noise_3,0.23020023,0.19527784,0.16640869
impulse_noise_4,0.3631925,0.32088035,0.2615093
impulse_noise_5,0.48694676,0.44180727,0.35781932
defocus_blur_1,0.079099536,0.06120907,0.061594434
defocus_blur_2,0.099656686,0.079758145,0.07571499
defocus_blur_3,0.14177385,0.11807102,0.10537405
defocus_blur_4,0.21044394,0.18171084,0.15157679
defocus_blur_5,0.3508875,0.31478032,0.25686416
gaussian_blur_1,0.078822464,0.060728267,0.061584733
gaussian_blur_2,0.14376746,0.11989966,0.10685503
gaussian_blur_3,0.20594236,0.17736083,0.15042731
gaussian_blur_4,0.2704792,0.23782372,0.19614072
gaussian_blur_5,0.39271718,0.35443786,0.28590956
motion_blur_1,0.118835256,0.09646639,0.08691605
motion_blur_2,0.17421338,0.14694914,0.124400824
motion_blur_3,0.22977363,0.19721541,0.16211659
motion_blur_4,0.23153886,0.19896215,0.16316894
motion_blur_5,0.2810439,0.2448719,0.19792499
zoom_blur_1,0.1382717,0.1137655,0.10234573
zoom_blur_2,0.15694818,0.13101274,0.113659985
zoom_blur_3,0.18745698,0.15877882,0.13372996
zoom_blur_4,0.22167064,0.19055976,0.1571708
zoom_blur_5,0.27148947,0.2369805,0.19312185
snow_1,0.09984956,0.07846105,0.07710179
snow_2,0.13388772,0.108360074,0.09583449
snow_3,0.14957933,0.12239608,0.112512276
snow_4,0.1624186,0.13321988,0.121775925
snow_5,0.1688252,0.1387597,0.121578954
fog_1,0.09130216,0.07191466,0.072946236
fog_2,0.12490602,0.10038043,0.09667519
fog_3,0.17479499,0.1446472,0.13605368
fog_4,0.25153965,0.21566473,0.20114323
fog_5,0.41123584,0.36608964,0.3428226
brightness_1,0.08080229,0.06273011,0.063027605
brightness_2,0.08378028,0.065002,0.063443854
brightness_3,0.09083082,0.07109322,0.06734513
brightness_4,0.100556895,0.07985454,0.072520345
brightness_5,0.12603031,0.1012038,0.08393912
contrast_1,0.1012992,0.08101717,0.08120963
contrast_2,0.19987485,0.16764432,0.15664272
contrast_3,0.29665804,0.25498453,0.23220989
contrast_4,0.41994226,0.36674088,0.32399416
contrast_5,0.67375314,0.61650395,0.5031049
elastic_transform_1,0.121045195,0.09814574,0.091148816
elastic_transform_2,0.12457422,0.10139416,0.09436244
elastic_transform_3,0.14665045,0.12140018,0.1100339
elastic_transform_4,0.16371411,0.13576777,0.12732743
elastic_transform_5,0.17103362,0.14134209,0.13948746
pixelate_1,0.0839042,0.06557926,0.06707594
pixelate_2,0.09129773,0.071868286,0.07447758
pixelate_3,0.09554927,0.07547198,0.077432
pixelate_4,0.1125465,0.08967297,0.088814326
pixelate_5,0.15672478,0.12934859,0.12499802
jpeg_compression_1,0.090564445,0.07089476,0.07403579
jpeg_compression_2,0.10628101,0.084841,0.08671816
jpeg_compression_3,0.110033914,0.08802742,0.08964196
jpeg_compression_4,0.11712641,0.09439604,0.09554434
jpeg_compression_5,0.12809251,0.104235604,0.10477848
spatter_1,0.09666705,0.076125994,0.07869406
spatter_2,0.12628457,0.10116456,0.10273594
spatter_3,0.15536548,0.12702286,0.1295968
spatter_4,0.13948892,0.11195311,0.109260984
spatter_5,0.20443927,0.1690984,0.15578069
saturate_1,0.10991139,0.08695659,0.088630565
saturate_2,0.1417637,0.1159878,0.11720571
saturate_3,0.07965556,0.060927123,0.058260664
saturate_4,0.10670127,0.08548,0.069357134
saturate_5,0.14005789,0.114608414,0.08248463
frost_1,0.09838168,0.07803275,0.07524374
frost_2,0.12233595,0.098055705,0.08999953
frost_3,0.16311508,0.13355872,0.116427734
frost_4,0.16648838,0.13698113,0.120757565
frost_5,0.20008773,0.16539557,0.13702527
