test data,Uncal.,ETS w/o DAC,ETS + DAC
natural_1,0.076588444,0.059029818,0.05969467
natural_2,0.076588444,0.059029818,0.05969467
natural_3,0.076588444,0.059029818,0.05969467
natural_4,0.076588444,0.059029818,0.05969467
natural_5,0.076588444,0.059029818,0.05969467
gaussian_noise_1,0.09428585,0.07436248,0.07429606
gaussian_noise_2,0.12532276,0.10128328,0.094580114
gaussian_noise_3,0.18199243,0.15274635,0.13261688
gaussian_noise_4,0.21534514,0.18350977,0.1549469
gaussian_noise_5,0.25553924,0.22092317,0.18199837
shot_noise_1,0.084847316,0.06626721,0.067913786
shot_noise_2,0.09914617,0.07816601,0.07735003
shot_noise_3,0.14767301,0.12156479,0.10787068
shot_noise_4,0.17245795,0.14364097,0.12296413
shot_noise_5,0.22845547,0.1952808,0.1588307
speckle_noise_1,0.0857304,0.066914394,0.06748116
speckle_noise_2,0.10887058,0.08636746,0.08091758
speckle_noise_3,0.12777811,0.103178084,0.09300816
speckle_noise_4,0.17419997,0.14440866,0.11904798
speckle_noise_5,0.24081266,0.20630082,0.16286668
impulse_noise_1,0.115724154,0.09260383,0.08734964
impulse_noise_2,0.17410083,0.1450035,0.1249973
impulse_noise_3,0.23020023,0.19527784,0.15724327
impulse_noise_4,0.3631925,0.32088035,0.24305734
impulse_noise_5,0.48694676,0.44180727,0.3333969
defocus_blur_1,0.079099536,0.061209075,0.06066762
defocus_blur_2,0.099656686,0.07975815,0.07389896
defocus_blur_3,0.14177385,0.11807102,0.102327704
defocus_blur_4,0.21044394,0.18171084,0.1463463
defocus_blur_5,0.3508875,0.31478032,0.24972934
gaussian_blur_1,0.078822464,0.060728267,0.06069834
gaussian_blur_2,0.14376746,0.11989966,0.10336165
gaussian_blur_3,0.20594236,0.17736083,0.14551726
gaussian_blur_4,0.2704792,0.23782372,0.18982051
gaussian_blur_5,0.39271718,0.35443786,0.27691698
motion_blur_1,0.118835256,0.09646641,0.08387397
motion_blur_2,0.17421338,0.14694914,0.12019112
motion_blur_3,0.22977363,0.19721541,0.15557995
motion_blur_4,0.23153886,0.19896215,0.15640298
motion_blur_5,0.2810439,0.24487191,0.18991119
zoom_blur_1,0.1382717,0.11376551,0.09898922
zoom_blur_2,0.15694818,0.13101274,0.110508606
zoom_blur_3,0.18745698,0.15877882,0.12791643
zoom_blur_4,0.22167064,0.19055976,0.1514622
zoom_blur_5,0.27148947,0.2369805,0.18580873
snow_1,0.09984956,0.07846105,0.07453005
snow_2,0.13388772,0.108360074,0.09241536
snow_3,0.14957933,0.12239608,0.10976595
snow_4,0.1624186,0.13321988,0.11957806
snow_5,0.1688252,0.13875972,0.12070901
fog_1,0.09130216,0.07191466,0.070912786
fog_2,0.12490602,0.10038043,0.09427452
fog_3,0.17479499,0.1446472,0.13324538
fog_4,0.25153965,0.21566473,0.19809659
fog_5,0.41123584,0.36608964,0.3405911
brightness_1,0.08080229,0.06273012,0.06280407
brightness_2,0.08378028,0.065002,0.06274335
brightness_3,0.09083082,0.07109322,0.066563636
brightness_4,0.100556895,0.07985455,0.072611384
brightness_5,0.12603031,0.1012038,0.08639137
contrast_1,0.1012992,0.08101717,0.07978817
contrast_2,0.19987485,0.16764432,0.15495679
contrast_3,0.29665804,0.25498453,0.23153725
contrast_4,0.41994226,0.36674088,0.32368812
contrast_5,0.67375314,0.61650395,0.5111836
elastic_transform_1,0.121045195,0.09814574,0.088930964
elastic_transform_2,0.12457422,0.10139416,0.091765255
elastic_transform_3,0.14665045,0.12140018,0.1068866
elastic_transform_4,0.16371411,0.13576777,0.12428267
elastic_transform_5,0.17103362,0.14134209,0.13647869
pixelate_1,0.0839042,0.06557926,0.06598561
pixelate_2,0.09129773,0.071868286,0.07284124
pixelate_3,0.09554927,0.07547198,0.07532881
pixelate_4,0.1125465,0.08967297,0.08486645
pixelate_5,0.15672478,0.12934859,0.11972189
jpeg_compression_1,0.090564445,0.07089476,0.07213004
jpeg_compression_2,0.10628101,0.084841,0.084503785
jpeg_compression_3,0.110033914,0.08802742,0.08704972
jpeg_compression_4,0.11712641,0.094396055,0.09295203
jpeg_compression_5,0.12809251,0.104235604,0.102201425
spatter_1,0.09666705,0.076125994,0.07680784
spatter_2,0.12628457,0.10116456,0.099738985
spatter_3,0.15536548,0.12702286,0.12523066
spatter_4,0.13948892,0.11195311,0.10532011
spatter_5,0.20443927,0.1690984,0.15014073
saturate_1,0.10991139,0.08695659,0.08737543
saturate_2,0.1417637,0.1159878,0.11595467
saturate_3,0.07965556,0.060927123,0.057422444
saturate_4,0.10670127,0.085480005,0.068279326
saturate_5,0.14005789,0.114608414,0.08228449
frost_1,0.09838168,0.07803275,0.07525619
frost_2,0.12233595,0.098055705,0.09038162
frost_3,0.16311508,0.13355872,0.11734308
frost_4,0.16648838,0.13698113,0.12074761
frost_5,0.20008773,0.16539557,0.13648655
